subject,summary,press,wdate,link
“美 AMPC 폐지 가능성 낮아…전기차 보조금은 폐지될 듯”,도널드 트럼프 전 미국 대통령이 재선에 성공할 경우 그린산업 전반에 경고등이 켜져지만 미국 의회의 최종 결정이 필요한 만큼 일부 보조금.. 이데일리 | 2025-01-31 08:09:07,이데일리,2025-01-31 08:09:07,https://n.news.naver.com/mnews/article/018/0005933648
뉴욕증시 강세…'캐나다·멕시코 고율관세' 재확인에 금값 사상 최고가[뉴스새벽배송],최근 중국의 인공지능(AI) 딥시크의 등장에 출렁였던 뉴욕증시가 간밤 동반 강세로 마감했다. 빅테크 마이크로소프트(MS) 실적 전망에 .. 이데일리 | 2025-01-31 08:08:14,이데일리,2025-01-31 08:08:14,https://n.news.naver.com/mnews/article/018/0005933647
“연휴 기간 대외충격 일부 회피…주도주 성장세 지속”,국내 증시가 설 연휴로 휴장하는 동안 ‘딥시크 충격’과 기준금리 동결 결정 등에 미국 증시의 변동성은 확대됐다. 다만 국내 증시는 연휴.. 이데일리 | 2025-01-31 08:07:07,이데일리,2025-01-31 08:07:07,https://n.news.naver.com/mnews/article/018/0005933646
"""티웨이항공, 단기실적 부진 불가피…경영권 분쟁에 목표가↑""-NH","NH투자증권은 31일 티웨이항공에 대해 ""단기 실적은 장거리 노선 수익성 부담으로 예상치 하회가 불가피하나 경영권 확보 경쟁에 단기 주.. 한국경제 | 2025-01-31 08:06:14",한국경제,2025-01-31 08:06:14,https://n.news.naver.com/mnews/article/015/0005087762
"하나證 ""호텔신라, 약해지는 면세업…목표가↓""","하나증권이 31일 호텔신라에 대해 ""의미있는 수요 회복이 없다면 실적 가시성이 떨어질 수밖에 없다""며 ""현재는 단기적 실적 개선보다 면.. 뉴시스 | 2025-01-31 08:05:53",뉴시스,2025-01-31 08:05:53,https://n.news.naver.com/mnews/article/003/0013039779
"예상대로 금리 동결한 연준…코스피, 딥시크 충격 나올까",설 연휴를 마친 국내 증시가 개장한다. 미국 연방준비제도(Fed·연준)가 올해 첫 통화정책 회의에서 예상대로 기준금리를 동결하면서 관련.. 뉴시스 | 2025-01-31 08:05:37,뉴시스,2025-01-31 08:05:37,https://n.news.naver.com/mnews/article/003/0013039778
"애플, 아이폰 부진했지만 4분기 ‘깜짝 실적’…시간 외 3%대 반등 [투자360]","매출 1243억달러, 주당순이익 2.40달러 시장예상치 상회…아이폰 판매는 ‘주춤’ 중국 시장 매출은 1년 전보다 11.1% 감소 0... 헤럴드경제 | 2025-01-31 08:05:10",헤럴드경제,2025-01-31 08:05:10,https://n.news.naver.com/mnews/article/016/0002421862
"""딥시크 여진 계속…AI 소프트웨어 우호적 수급 환경 될 듯""","딥시크 사태 이어지고 있는 가운데, AI 소프트웨어 업종에 우호적 수급 환경이 조성되는 등 기존의 AI에 대한 투자 관점이 바뀌고 있다.. 이데일리 | 2025-01-31 08:04:11",이데일리,2025-01-31 08:04:11,https://n.news.naver.com/mnews/article/018/0005933644
1주일 만에 열리는 증시…中 딥시크-美 금리 동결 영향 ‘주목’,설 명절 연휴로 휴장했던 증시가 1주일 만에 재개장하면서 추이에 관심이 쏠린다. 전날 미국 중앙은행 연방준비제도(Fed·연준)이 금리를.. 데일리안 | 2025-01-31 08:00:12,데일리안,2025-01-31 08:00:12,https://n.news.naver.com/mnews/article/119/0002918477
"기아, 미국·유럽 신차 인센티브 증가…목표가 6%↓-대신",대신증권은 31일 기아(000270)에 대해 올해 미국과 유럽에서의 신차 인센티브 증가가 예상됨에 따라 목표주가를 종전 대비 6% 내린.. 이데일리 | 2025-01-31 08:00:09,이데일리,2025-01-31 08:00:09,https://n.news.naver.com/mnews/article/018/0005933641
"딥시크 쇼크, 반도체·전력기기·원자력 주가 하락 불가피",한화투자증권은 31일 중국 인공지능(AI) 스타트업 딥시크발 쇼크로 반도체·전력기기·원자력 등 AI 밸류체인 업종의 주가 하락이 불가피.. 아시아경제 | 2025-01-31 07:59:39,아시아경제,2025-01-31 07:59:39,https://n.news.naver.com/mnews/article/277/0005539565
